id,name,address,lat,lng,spot_a,base_date,spot_a_sun_start,spot_a_horizon,spot_a_sun_end,spot_b,spot_b_sun_start,spot_b_sun_end,spot_b_horizon,image_url,spot_a_photo_url,spot_b_photo_url,notes,worth_the_trip,cycle_friendly,football_friendly,curated_route_id
hopkinson_,Hopkinson,"21 Station St, NG2 3AJ",52.94782809833468,-1.1461470827680984,Bench on Pavment,2026-04-08,09:05,101:16|154:14|203:18|223:23|238:15|251:31|261:14|265:30|273:52,16:55,,,,,https://media.drinkinginthesun.com/images/hopkinson/main-2026-06-03T12-20-46-453Z-2026_0602_130401.jpg,https://media.drinkinginthesun.com/images/hopkinson/spot-a-2026-06-03T12-21-00-957Z-2026_0602_130633.jpg,,Great £4 pints before 7pm. Great location by station and good outdoor seating. Sunny most of the day.,,yes,,
embankment_pub,Embankment Pub,"282-284 Arkwright St, NG2 2GR",52.93960777200868,-1.1389063306856593,Beer Garden,2026-08-15,13:38,153:28|221:18|232:8|257:10|285:9|301:20|309:21,17:01,,,,,https://media.drinkinginthesun.com/images/embankment-pub/main-2026-06-03T09-02-48-579Z-2026_0602_133435.jpg,,,"Great Castle Rock pub with plenty of character, friendly staff, and lots of space inside and out. The covered outdoor seating is ideal for rainy days or shade when it’s sunny, and the Sunday lunches are excellent, with generous portions and good meat and vegetarian roast options. Best to book ahead, though walk-ins may be possible.",,yes,,
the_vat_and_fiddle,The Vat & Fiddle,"12 Queensbridge Rd, NG2 1NB",52.94589673450592,-1.148285189233375,Font Bench,2026-04-25,11:00,91:35|127:39|208:9|228:32|269:60,15:00,Beer garden,11:00,17:00,100:39|139:36|159:32|165:30|223:27|230:34|249:0|260:28|264:34|265:13|273:12|293:10,https://media.drinkinginthesun.com/images/the-vat-and-fiddle/main-2026-06-01T11-54-00-415Z-img_1887-2.jpg,https://media.drinkinginthesun.com/images/the-vat-and-fiddle/spot-a-2026-06-01T11-54-09-754Z-img_1887-2.jpg,https://media.drinkinginthesun.com/images/the-vat-and-fiddle/spot-b-2026-06-01T11-54-18-579Z-img_1904-2.jpg,"Nice pub with friendly staff, good outdoor seating, and a retro vibe inside. Handy spot near the train station.",,yes,,
the_bath_inn,The Bath Inn,"1 Handley St, Sneinton, NG2 4AD",52.955456633455846,-1.137781372849386,Font bench on pavement,2026-04-19,13:00,0:0|0:0|170:50|193:10|211:32|217:25|244:15|252:20|261:27|280:22|288:18,18:00,,,,,https://media.drinkinginthesun.com/images/the-bath-inn/main-2026-06-03T11-47-13-091Z-img_1265.jpg,,,"A stunning pub with quirky decor, where every corner and wall has clearly been thoughtfully designed.",,,,
cured_,Cured,"97 Carrington St, NG1 7FE",52.948247861360876,-1.1474835288356946,Down stairs by the canal,2026-08-15,13:00,,17:00,Pavement seating,11:00,14:00,,https://media.drinkinginthesun.com/images/cured/main-2026-06-01T13-47-29-420Z-img_1163.jpg,https://media.drinkinginthesun.com/images/cured/spot-a-2026-06-01T13-47-41-225Z-img_1165.jpg,https://media.drinkinginthesun.com/images/cured/spot-b-2026-06-01T13-47-48-863Z-img_1166-2.jpg,Views of the canal from every table and a small terrace overlooking the canal downstairs.,,,,
cock_and_hoop,Cock & Hoop,"25-27 High Pavement, NG1 1HE",52.95110054126724,-1.1442542728495635,Table in front of pub,2026-06-03,10:10,90:30|92:15|101:12|117:22|125:22|157:37|208:42|232:33|241:39|251:38|257:26|270:24|273:32|276:18|286:19|291:33,16:00,,,,,https://media.drinkinginthesun.com/images/cock-and-hoop/main-2026-06-03T13-22-36-010Z-img_1200.jpg,https://media.drinkinginthesun.com/images/cock-and-hoop/spot-a-2026-06-03T13-30-39-064Z-img_1197.jpg,,"Great pub, like a labyrinth inside and the outdoor areas are great. Very European feel to the terrace and enclosed garden space.
Very good deals on craft ales on Mondays.",,,,
jamcafe_,Jamcafé,"12 Heathcoat St, NG1 3AA",52.95419331754885,-1.1432931608770853,Table in front of pub,2026-04-24,13:42,130:70|168:57|181:48|187:16|194:19|206:18|208:33|213:35|218:43|220:49|232:56|252:61,15:15,,,,,,,,"Friendly staff and people, international clientele, great music really good vibe",,yes,,
the_barrel_drop,The Barrel Drop,"7 Hurts Yard, NG1 6JD",52.9542,-1.1517,Alley,2027-08-15,11:47,,12:50,,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b3c697db-58f3-4868-af6c-231834301221/Warm+evening+at+The+Barrel+Drop.png?format=2500w,,,,,,,
johnson_arms,Johnson Arms,"59 Abbey St, Dunkirk, NG7 2NZ",52.94248841825519,-1.1802195608779216,Large garden area,2026-04-25,08:55,94:36|103:32|122:31|159:27|173:25|213:15|236:16|251:20|264:31|277:39,14:30,,,,,https://media.drinkinginthesun.com/images/johnson-arms/main-2026-06-02T15-04-10-649Z-img_2096.jpg,https://media.drinkinginthesun.com/images/johnson-arms/spot-a-2026-06-02T15-04-18-717Z-img_1800.jpg,,"Friendly staff, a great selection of drinks, and tasty pizzas. The garden at the back is a beautiful surprise and a lovely place to spend the day. Definitely worth a visit.",,yes,,
the_boat_inn,The Boat Inn,"Priory St, Lenton, NG7 2NX",52.94310854915759,-1.1795507205475635,Beer Garden,2027-04-25,09:10,118:19|143:11|156:22|199:25|208:30|256:19|-267:31|268:36|287:21|294:19,16:30,,,,,https://media.drinkinginthesun.com/images/the-boat-inn/main-2026-06-02T14-46-00-360Z-img_1784.jpg,https://media.drinkinginthesun.com/images/the-boat-inn/spot-a-2026-06-02T14-48-59-476Z-img_1767.jpg,,"A cracking little pub with great aesthetics, a decent pint, and very reasonable prices. Big beer garden.",,yes,,
broadway_cinema,Broadway Cinema,"14-18 Broad St, NG1 3AL",52.95443297193281,-1.1439577190424988,Table in front of pub,2026-04-15,13:04,178:45|187:16|213:22|238:24|242:31|261:32|275:34|280:37,15:00,,,,,https://media.drinkinginthesun.com/images/broadway-cinema/main-2026-06-03T12-32-42-634Z-img_1176-2.jpg,https://media.drinkinginthesun.com/images/broadway-cinema/spot-a-2026-06-03T12-32-54-919Z-img_1183.jpg,,Great cinema to see films in. Lovely atmosphere. Lovely bar and food if required. Outdoor area is great for the afternoon sun.,,yes,,
the_gladstone,The Gladstone,"45 Loscoe Rd, Carrington, NG5 2AW",52.9748,-1.1542,Back Garden,2026-08-15,14:16,,18:49,,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/a4425ab1-eb7c-4df8-b85f-7d7f86487864/Golden+hour+at+The+Gladstone+patio.png?format=1500w,,,,,,,
duke_of_cambridge,Duke Of Cambridge,"548 Woodborough Rd, Mapperley, NG3 5FH",52.9765,-1.1362,Terrace at back of pub,2026-04-11,08:00,93:12|271:11,18:00,,,,,https://lh3.googleusercontent.com/p/AF1QipNjLejUuBt2DCPerS9Rqh3VT5QhAvbjcYT1kSTz=s1360-w1360-h1020-rw,https://lh3.googleusercontent.com/p/AF1QipN_LZT7bKjawxiWdoeHD056mufcNwwXg-RXGEjx=s1360-w1360-h1020-rw,,"Brilliant pub, great traditional warm atmosphere that's been lost in a lot of traditional city pubs. lovely beer garden and friendly staff. Good prices too.",,no,yes,
the_robin_hood,The Robin Hood,"161 Church St, Arnold, NG5 6ND",52.9801,-1.1465,Beer Garden,2026-04-09,12:46,151:42|237:32,16:03,,,,,https://tinyurl.com/2csk2y3c,,,,,,,
the_lord_nelson,The Lord Nelson,"Lord Nelson St, Sneinton, NG2 4FJ",52.9508,-1.1278,Beer Garden,2026-08-15,08:24,,17:14,,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/cbb31ce9-9fb0-44c5-af82-91208741bd9a/Pub+patio+awaiting+photo+moment.png?format=1500w,,,,,,,
the_canal_house,The Canal House,"48-52 Canal Street, Nottingham, NG1 7EH",52.94831055317021,-1.1487170917602127,Terrace at back of pub,2026-03-19,09:48,,17:30,,,,,https://media.drinkinginthesun.com/images/the-canal-house/main-2026-06-02T15-44-02-507Z-img_1224.jpg,https://media.drinkinginthesun.com/images/the-canal-house/spot-a-2026-06-02T15-44-11-690Z-img_1221.jpg,,"Great pub with nice indoor spaces, but the outside seating is the real gem, sunny, scenic, and yes, there’s a canal boat inside.",,,,
durham_ox_inn,The Durham Ox,"Church St, Orston, Nottingham NG13 9NS",52.962404,-0.855215,Courtyard,2026-05-13,09:02,,13:57,Front seating,12:58,15:47,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/2ccf47b6-1c52-4d53-8c92-eec4c1c501ad/Screenshot+2026-03-16+at+11.16.29.png?format=1500w,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/8c3adce2-3c5d-4e80-a6b0-df0fe8f964a5/Screenshot+2026-03-16+at+11.17.02.png?format=1500w,https://lh3.googleusercontent.com/gps-cs-s/AHVAwequlDuSAe232D9MPMNNPPINVS-OjRcSxoBqH8w-zbvyoZU47R78xa9bdTzkSXEl3teyRfWypJwFaoNM3qk8HH6u9q3UoMSDgiuONZeUEq-H-Ux3aco7FQz0qlq8whlCQdrtvlP-RQ=s1360-w1360-h1020-rw,"Open Tuesday to Sunday, serving food and drink. Mondays are closed except for bank holidays where it is open all day",yes,yes,,
the_martin,The Martin,"School Ln, Colston Bassett, Nottingham NG12 3FD",52.891678,-0.963414,Beer Garden,2026-05-13,09:48,,17:55,,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/843182f7-032b-492f-8899-860989542602/Screenshot+2026-03-16+at+11.35.52.png?format=2500w,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/dffa40b6-8184-44c1-8376-4b75dd3ef4ed/Screenshot+2026-03-16+at+11.36.14.png?format=2500w,,Outdoor seating · Fireplace · Vegetarian options,yes,yes,,
